一劳久逸,一劳永逸,一字不易,一定不易,一定不移,一成不变,一成不易,为所欲为,亲上做亲,亲上成亲
人外有人,以夷伐夷,以夷制夷,以夷攻夷,以夷治夷,以肉去蚁,以词害意,以辞害意,以铢称镒,以铢程镒
以骨去蚁,分文不值,分文不直,切切此布,切切私语,别鹤离鸾,勤学苦练,唯所欲为,囊萤映雪,坚壁清野
天外有天,头上安头,头上著头,安份守己,安分守己,安分守已,安分知足,屋下作屋,屋下架屋,山外有山
山陬海噬,山陬海澨,峰外有峰,左道旁门,床上叠床,床上安床,床上施床,床上迭床,床下安床,怵目惊心
惟所欲为,惩一儆百,惩一戒百,惩一警百,感人肺肝,成家立业,成家立计,挨门挨户,挨门逐户,改行自新
断长续短,断长补短,新益求新,日居月诸,旧瓶新酒,昂昂自若,昂然自若,映雪囊萤,朝奏夕召,朝奏暮召
束手无措,束手无术,束手无策,束手无计,极深研幾,枝叶相持,枝外生枝,枝干相持,欺人自欺,水楔不通
水泄不漏,水泄不透,水泄不通,水洩不通,汹涌彭湃,汹涌渒湃,汹涌澎湃,河东狮吼,爱富嫌贫,爱才若渴
献可替否,献替可否,猿啼鹤唳,猿啼鹤怨,猿悲鹤怨,猿惊鹤怨,玉石俱摧,玉石俱焚,玉石俱碎,现世现报
百战百败,积劳成疾,积劳成病,积忧成疾,称雨道晴,窃窃私议,窃窃私语,精益求精,行崄侥幸,行险徼幸
见所不见,见所未见,触目儆心,触目惊心,触目警心,计穷智极,计穷虑尽,计穷虑极,讹以传讹,讹以滋讹
话中有话,话里有话,贵贱无二,足尺加二,足蹈手舞,跌宕风流,进可替否,适当其时,适逢其会,适逢其时
闭壁清野,闻所不闻,闻所未闻,防不及防,防不胜防,阿姑阿翁,阿家阿翁,雷霆之怒,鞋弓袜小,鞋弓袜浅
鞋弓襪小,鞋弓襪浅,餐松啖柏,饥寒交凑,饥寒交切,饥寒交至,饥寒交迫,騣女痴儿,騣女痴男,魑魅罔两
魑魅魍魉,黄钟瓦缶,黄钟瓦釜,黄锺瓦缶,山陬海噬,惺惺惜惺惺,旧瓶装新酒,河东狮子吼,人生何处不相逢,前怕龙，后怕虎
千里姻缘使线牵,成也萧何败萧何,仇人相见，分外明白,仇人相见，分外眼明,仇人相见，分外眼睁,仇人相见，分外眼红,仇人见面，分外眼红,以己之心，度人之心,以己之心，度人之腹,前门去虎，后门进狼
千里之堤，毁于蚁穴,,,,,,,,,
